epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,561.068,1.462,2.33822,1.72224,0.53099,0.49294,0.43852,0.26612,1.50691,2.04386,1.73512,0.00333129,0.00333129,0.00333129
2,1066.55,1.51405,1.97163,1.74778,0.50962,0.47403,0.40947,0.23555,1.64608,2.12585,1.93842,0.00658215,0.00658215,0.00658215
3,1563.12,1.62336,2.15718,1.84314,0.52538,0.46088,0.42531,0.23975,1.66979,2.16399,1.98907,0.00975051,0.00975051,0.00975051
4,2055.84,1.65266,2.21212,1.88741,0.51371,0.53709,0.48953,0.28599,1.57889,1.93237,1.90267,0.00962875,0.00962875,0.00962875
5,2548.35,1.57784,2.06598,1.84064,0.64222,0.53773,0.53647,0.33174,1.50153,1.73545,1.81761,0.009505,0.009505,0.009505
6,3042.34,1.52499,1.9401,1.80029,0.58366,0.36264,0.36476,0.22733,1.73986,2.62322,2.06537,0.00938125,0.00938125,0.00938125
7,3538.24,1.48314,1.91198,1.77508,0.69753,0.57393,0.58277,0.37067,1.40747,1.60833,1.74807,0.0092575,0.0092575,0.0092575
8,4029.81,1.44416,1.81963,1.74452,0.70425,0.59762,0.61173,0.3935,1.37858,1.4961,1.7262,0.00913375,0.00913375,0.00913375
9,4522.52,1.42281,1.78038,1.72805,0.72257,0.61216,0.62247,0.40146,1.35576,1.48314,1.73819,0.00901,0.00901,0.00901
10,5014.9,1.39426,1.7099,1.70575,0.69322,0.6173,0.60828,0.40012,1.35112,1.42011,1.70625,0.00888625,0.00888625,0.00888625
11,5505.72,1.36025,1.67424,1.67942,0.71925,0.61454,0.62577,0.41564,1.31653,1.40385,1.69656,0.0087625,0.0087625,0.0087625
12,5997.32,1.35307,1.628,1.67918,0.74402,0.63759,0.66538,0.44937,1.27678,1.32277,1.65032,0.00863875,0.00863875,0.00863875
13,6491.97,1.33469,1.58676,1.66504,0.75609,0.65478,0.67358,0.45864,1.26697,1.2836,1.65348,0.008515,0.008515,0.008515
14,6982.76,1.3101,1.54516,1.63241,0.76978,0.6416,0.67145,0.46368,1.22806,1.26114,1.59904,0.00839125,0.00839125,0.00839125
15,7474.47,1.31119,1.51683,1.64241,0.76718,0.66531,0.68805,0.47592,1.22635,1.24701,1.62176,0.0082675,0.0082675,0.0082675
16,7967.21,1.28801,1.48589,1.62806,0.76487,0.69116,0.70088,0.48803,1.19435,1.2052,1.58866,0.00814375,0.00814375,0.00814375
17,8460.76,1.26381,1.46308,1.60058,0.76595,0.70754,0.71289,0.50148,1.16855,1.14635,1.55996,0.00802,0.00802,0.00802
18,8951.33,1.25686,1.43642,1.58993,0.78547,0.6815,0.70948,0.50165,1.17124,1.15375,1.54935,0.00789625,0.00789625,0.00789625
19,9442.45,1.24764,1.41752,1.58798,0.7761,0.69984,0.71013,0.50841,1.13801,1.13864,1.54088,0.0077725,0.0077725,0.0077725
20,9933.37,1.23295,1.39703,1.58514,0.78094,0.70894,0.72978,0.52795,1.1104,1.06445,1.50739,0.00764875,0.00764875,0.00764875
21,10424.1,1.21771,1.35719,1.56403,0.81169,0.7212,0.73943,0.53228,1.10554,1.03292,1.50658,0.007525,0.007525,0.007525
22,10915.2,1.20066,1.33379,1.54976,0.79555,0.73316,0.74971,0.54532,1.09223,0.99292,1.48609,0.00740125,0.00740125,0.00740125
23,11405.9,1.18362,1.29829,1.53767,0.80357,0.74451,0.75197,0.54892,1.08669,0.99893,1.48082,0.0072775,0.0072775,0.0072775
24,11897.2,1.16863,1.28973,1.51989,0.81118,0.74631,0.75936,0.56191,1.05459,0.96866,1.4632,0.00715375,0.00715375,0.00715375
25,12387.2,1.16786,1.27745,1.53385,0.82296,0.7496,0.77181,0.5695,1.0403,0.94167,1.44937,0.00703,0.00703,0.00703
26,12877.5,1.1562,1.25217,1.51682,0.8242,0.75908,0.77192,0.57737,1.02196,0.9342,1.42791,0.00690625,0.00690625,0.00690625
27,13368.4,1.1327,1.21449,1.50565,0.84402,0.75928,0.77629,0.57806,1.01537,0.89534,1.44013,0.0067825,0.0067825,0.0067825
28,13861.2,1.13127,1.21188,1.49743,0.82682,0.7697,0.78328,0.58725,1.00308,0.87052,1.41814,0.00665875,0.00665875,0.00665875
29,14352.8,1.1197,1.17641,1.49009,0.85125,0.7602,0.79137,0.59363,0.98273,0.84053,1.39926,0.006535,0.006535,0.006535
30,14845.1,1.11008,1.16974,1.47639,0.85178,0.76499,0.78776,0.59879,0.96673,0.85595,1.37766,0.00641125,0.00641125,0.00641125
31,15338.5,1.10499,1.15332,1.47304,0.83976,0.78526,0.7932,0.60063,0.96287,0.82515,1.37257,0.0062875,0.0062875,0.0062875
32,15830.8,1.0889,1.12727,1.46003,0.84159,0.78085,0.79722,0.60306,0.94721,0.81926,1.36176,0.00616375,0.00616375,0.00616375
33,16322.2,1.08475,1.12671,1.46295,0.84006,0.79494,0.80215,0.61191,0.93366,0.79192,1.35642,0.00604,0.00604,0.00604
34,16812.7,1.07031,1.10219,1.45462,0.8472,0.79978,0.80265,0.61757,0.93154,0.80173,1.35171,0.00591625,0.00591625,0.00591625
35,17304.4,1.06066,1.09133,1.45059,0.83772,0.81009,0.80769,0.62118,0.91751,0.76853,1.34062,0.0057925,0.0057925,0.0057925
36,17795.3,1.04619,1.08059,1.43887,0.84968,0.80739,0.81452,0.62817,0.89431,0.74563,1.32454,0.00566875,0.00566875,0.00566875
37,18285.3,1.03887,1.06989,1.42636,0.85768,0.80284,0.81332,0.63201,0.88306,0.72535,1.31611,0.005545,0.005545,0.005545
38,18775.3,1.04051,1.06555,1.4313,0.84065,0.81596,0.81567,0.63556,0.86888,0.72445,1.30154,0.00542125,0.00542125,0.00542125
39,19264.9,1.02249,1.03789,1.41088,0.86541,0.80647,0.81745,0.63941,0.86063,0.70512,1.29635,0.0052975,0.0052975,0.0052975
40,19756.4,1.01346,1.01156,1.40281,0.86937,0.8105,0.81882,0.64345,0.85077,0.69934,1.28709,0.00517375,0.00517375,0.00517375
41,20248.5,0.99635,1.01496,1.38389,0.8527,0.83011,0.8215,0.6479,0.83832,0.69595,1.27931,0.00505,0.00505,0.00505
42,20739.6,0.99206,0.99751,1.38457,0.85523,0.82558,0.82011,0.64692,0.83269,0.69422,1.27629,0.00492625,0.00492625,0.00492625
43,21231,0.97746,0.97596,1.37613,0.84739,0.83706,0.82015,0.65267,0.82495,0.67947,1.26784,0.0048025,0.0048025,0.0048025
44,21722.4,0.97096,0.976,1.36978,0.85258,0.83187,0.81964,0.65204,0.82252,0.6779,1.26626,0.00467875,0.00467875,0.00467875
45,22215.5,0.96213,0.9501,1.36178,0.86274,0.82563,0.82056,0.65517,0.81262,0.66563,1.25859,0.004555,0.004555,0.004555
46,22707.1,0.95352,0.94176,1.36336,0.86084,0.83032,0.82083,0.65749,0.80219,0.65219,1.25159,0.00443125,0.00443125,0.00443125
47,23199.7,0.95407,0.9496,1.35612,0.864,0.83219,0.82535,0.66259,0.79138,0.64816,1.24009,0.0043075,0.0043075,0.0043075
48,23691.5,0.94449,0.93404,1.3517,0.86083,0.83544,0.82511,0.66481,0.78796,0.64789,1.23907,0.00418375,0.00418375,0.00418375
49,24182.5,0.93085,0.92007,1.34601,0.86591,0.83292,0.82452,0.66174,0.78483,0.64395,1.23821,0.00406,0.00406,0.00406
50,24672.8,0.92471,0.90495,1.34031,0.86729,0.83506,0.82563,0.66708,0.77879,0.64143,1.23558,0.00393625,0.00393625,0.00393625
51,25163,0.92401,0.88783,1.3413,0.86213,0.84109,0.82584,0.66883,0.77,0.63716,1.23295,0.0038125,0.0038125,0.0038125
52,25652.8,0.90356,0.88048,1.3228,0.8601,0.84442,0.82571,0.66936,0.76276,0.63543,1.22542,0.00368875,0.00368875,0.00368875
53,26142.8,0.89799,0.87416,1.31959,0.86742,0.8435,0.83144,0.67255,0.76132,0.63273,1.227,0.003565,0.003565,0.003565
54,26632.6,0.88816,0.87041,1.31134,0.86682,0.84169,0.83057,0.67535,0.75448,0.62731,1.21928,0.00344125,0.00344125,0.00344125
55,27122.7,0.87947,0.86825,1.30515,0.8704,0.8371,0.83025,0.67642,0.7452,0.62231,1.21257,0.0033175,0.0033175,0.0033175
56,27614.7,0.86772,0.84135,1.29721,0.869,0.83667,0.83027,0.67778,0.73699,0.61616,1.20749,0.00319375,0.00319375,0.00319375
57,28106.2,0.86708,0.84225,1.29813,0.86184,0.84477,0.83113,0.67972,0.73436,0.61483,1.20648,0.00307,0.00307,0.00307
58,28597.9,0.84777,0.812,1.28432,0.86225,0.84695,0.83228,0.68157,0.73215,0.61403,1.20484,0.00294625,0.00294625,0.00294625
59,29089.2,0.84649,0.8257,1.28621,0.86079,0.84885,0.83315,0.68223,0.72723,0.60961,1.20105,0.0028225,0.0028225,0.0028225
60,29578.7,0.84085,0.81623,1.28101,0.86606,0.84685,0.83402,0.68464,0.72257,0.60678,1.1981,0.00269875,0.00269875,0.00269875
61,30069.2,0.8288,0.79785,1.27572,0.86917,0.84345,0.8345,0.68564,0.71962,0.60583,1.19731,0.002575,0.002575,0.002575
62,30560.7,0.81672,0.78807,1.26716,0.87624,0.84062,0.83217,0.68477,0.71464,0.60242,1.19591,0.00245125,0.00245125,0.00245125
63,31051.8,0.81781,0.78581,1.26574,0.87339,0.84306,0.83221,0.68591,0.71049,0.60174,1.19302,0.0023275,0.0023275,0.0023275
64,31543.1,0.80909,0.77962,1.25816,0.87294,0.84179,0.83161,0.68699,0.70661,0.59873,1.19138,0.00220375,0.00220375,0.00220375
65,32035.4,0.80015,0.77058,1.25512,0.87094,0.84179,0.83139,0.68654,0.70223,0.59703,1.18716,0.00208,0.00208,0.00208
66,32526.3,0.7829,0.74805,1.24463,0.87024,0.84667,0.8326,0.68864,0.69942,0.59607,1.18675,0.00195625,0.00195625,0.00195625
67,33016.5,0.79108,0.74958,1.24799,0.86232,0.85003,0.83208,0.69026,0.69661,0.59609,1.18417,0.0018325,0.0018325,0.0018325
68,33506.7,0.77951,0.73677,1.23665,0.86358,0.85044,0.83323,0.69157,0.69401,0.59506,1.18223,0.00170875,0.00170875,0.00170875
69,33996.8,0.77966,0.74454,1.24081,0.86251,0.85307,0.83353,0.69265,0.6901,0.59522,1.17955,0.001585,0.001585,0.001585
70,34490.6,0.7627,0.73439,1.23481,0.86526,0.85112,0.83346,0.69259,0.6884,0.59528,1.17855,0.00146125,0.00146125,0.00146125
71,34979.9,0.63625,0.57552,1.13452,0.86144,0.85302,0.83279,0.69332,0.68493,0.59257,1.17657,0.0013375,0.0013375,0.0013375
72,35468.2,0.62617,0.55822,1.12764,0.86198,0.85272,0.83368,0.69428,0.68275,0.59092,1.17538,0.00121375,0.00121375,0.00121375
73,35959.1,0.60566,0.54299,1.11635,0.86714,0.84993,0.83426,0.69508,0.67856,0.59056,1.17058,0.00109,0.00109,0.00109
74,36450.1,0.60302,0.54088,1.11722,0.86861,0.8501,0.83506,0.69572,0.67648,0.5895,1.16943,0.00096625,0.00096625,0.00096625
75,36940.3,0.59129,0.53225,1.10988,0.86897,0.84936,0.83524,0.69656,0.67417,0.58709,1.16816,0.0008425,0.0008425,0.0008425
76,37431.9,0.57776,0.52947,1.101,0.86933,0.85086,0.83552,0.69785,0.67167,0.58361,1.16633,0.00071875,0.00071875,0.00071875
77,37927.3,0.57835,0.52596,1.10051,0.86955,0.85027,0.83649,0.69897,0.66955,0.58192,1.16518,0.000595,0.000595,0.000595
78,38418.6,0.56633,0.50767,1.09111,0.86786,0.85132,0.83695,0.69942,0.66889,0.58007,1.16585,0.00047125,0.00047125,0.00047125
79,38908.5,0.56135,0.50433,1.08991,0.86852,0.85013,0.8359,0.69965,0.66706,0.57878,1.16468,0.0003475,0.0003475,0.0003475
80,39398.2,0.54628,0.4966,1.08272,0.87236,0.84998,0.83584,0.70044,0.66535,0.57738,1.16389,0.00022375,0.00022375,0.00022375
